edgeID,hour,vehicles
58968,SIXPM,2314
58968,SEVENPM,1490
58968,EIGHTPM,928
58968,NINEPM,611
58968,TENPM,444
58968,ELEVENPM,232
70558,MIDNIGHT,54
70558,ONEAM,21
70558,TWOAM,18
70558,THREEAM,18
70558,FOURAM,61
70558,FIVEAM,313
70558,SIXAM,850
70558,SEVENAM,2290
70558,EIGHTAM,3767
70558,NINEAM,2445
70558,TENAM,2114
70558,ELEVENAM,2121
70558,NOON,2053
70558,ONEPM,1977
70558,TWOPM,2092
70558,THREEPM,2787
70558,FOURPM,3003
70558,FIVEPM,3392
70558,SIXPM,2550
70558,SEVENPM,1642
70558,EIGHTPM,1022
70558,NINEPM,673
70558,TENPM,489
70558,ELEVENPM,255
60574,MIDNIGHT,6
60574,ONEAM,2
60574,TWOAM,2
60574,THREEAM,2
60574,FOURAM,7
60574,FIVEAM,38
60574,SIXAM,103
60574,SEVENAM,278
60574,EIGHTAM,457
60574,NINEAM,296
60574,TENAM,256
60574,ELEVENAM,257
60574,NOON,249
60574,ONEPM,240
60574,TWOPM,254
60574,THREEPM,338
60574,FOURPM,364
60574,FIVEPM,412
60574,SIXPM,309
60574,SEVENPM,199
60574,EIGHTPM,124
60574,NINEPM,81
60574,TENPM,59
60574,ELEVENPM,31
59426,MIDNIGHT,12
59426,ONEAM,4
59426,TWOAM,4
59426,THREEAM,4
59426,FOURAM,13
59426,FIVEAM,71
59426,SIXAM,193
59426,SEVENAM,522
59426,EIGHTAM,859
59426,NINEAM,557
59426,TENAM,482
59426,ELEVENAM,483
59426,NOON,468
59426,ONEPM,451
59426,TWOPM,477
59426,THREEPM,635
59426,FOURPM,685
59426,FIVEPM,773
59426,SIXPM,581
59426,SEVENPM,374
59426,EIGHTPM,233
59426,NINEPM,153
59426,TENPM,111
59426,ELEVENPM,58
80522,MIDNIGHT,31
80522,ONEAM,12
80522,TWOAM,10
80522,THREEAM,10
80522,FOURAM,35
80522,FIVEAM,182
80522,SIXAM,496
80522,SEVENAM,1336
80522,EIGHTAM,2198
80522,NINEAM,1427
80522,TENAM,1233
80522,ELEVENAM,1238
80522,NOON,1198
80522,ONEPM,1154
80522,TWOPM,1221
80522,THREEPM,1627
80522,FOURPM,1753
80522,FIVEPM,1980
80522,SIXPM,1488
80522,SEVENPM,958
80522,EIGHTPM,597
80522,NINEPM,393
80522,TENPM,285
80522,ELEVENPM,149
69291,MIDNIGHT,2
69291,ONEAM,0
69291,TWOAM,0
69291,THREEAM,0
69291,FOURAM,2
69291,FIVEAM,13
69291,SIXAM,36
69291,SEVENAM,98
69291,EIGHTAM,161
69291,NINEAM,104
69291,TENAM,90
69291,ELEVENAM,90
69291,NOON,88
69291,ONEPM,84
69291,TWOPM,89
69291,THREEPM,119
69291,FOURPM,128
69291,FIVEPM,145
69291,SIXPM,109
69291,SEVENPM,70
69291,EIGHTPM,43
69291,NINEPM,28
69291,TENPM,20
69291,ELEVENPM,10
65865,MIDNIGHT,47
65865,ONEAM,18
65865,TWOAM,15
65865,THREEAM,15
65865,FOURAM,53
65865,FIVEAM,274
65865,SIXAM,743
65865,SEVENAM,2003
65865,EIGHTAM,3294
65865,NINEAM,2138
65865,TENAM,1848
65865,ELEVENAM,1855
65865,NOON,1795
65865,ONEPM,1729
65865,TWOPM,1829
65865,THREEPM,2437
65865,FOURPM,2626
65865,FIVEPM,2966
65865,SIXPM,2229
65865,SEVENPM,1436
65865,EIGHTPM,894
65865,NINEPM,588
65865,TENPM,428
65865,ELEVENPM,223
65864,MIDNIGHT,50
65864,ONEAM,20
65864,TWOAM,16
65864,THREEAM,16
65864,FOURAM,56
65864,FIVEAM,290
65864,SIXAM,787
65864,SEVENAM,2122
65864,EIGHTAM,3490
65864,NINEAM,2265
65864,TENAM,1958
65864,ELEVENAM,1965
65864,NOON,1901
65864,ONEPM,1831
65864,TWOPM,1938
65864,THREEPM,2582
65864,FOURPM,2782
65864,FIVEPM,3143
65864,SIXPM,2362
65864,SEVENPM,1521
65864,EIGHTPM,947
65864,NINEPM,623
65864,TENPM,453
65864,ELEVENPM,236
79226,MIDNIGHT,16
79226,ONEAM,6
79226,TWOAM,5
79226,THREEAM,5
79226,FOURAM,18
79226,FIVEAM,94
79226,SIXAM,256
79226,SEVENAM,690
79226,EIGHTAM,1136
79226,NINEAM,737
79226,TENAM,637
79226,ELEVENAM,639
79226,NOON,619
79226,ONEPM,596
79226,TWOPM,631
79226,THREEPM,840
79226,FOURPM,905
79226,FIVEPM,1023
79226,SIXPM,769
79226,SEVENPM,495
79226,EIGHTPM,308
79226,NINEPM,203
79226,TENPM,147
79226,ELEVENPM,77
80523,MIDNIGHT,21
80523,ONEAM,8
80523,TWOAM,7
80523,THREEAM,7
80523,FOURAM,24
80523,FIVEAM,127
80523,SIXAM,345
80523,SEVENAM,932
80523,EIGHTAM,1533
80523,NINEAM,995
80523,TENAM,860
80523,ELEVENAM,863
80523,NOON,835
80523,ONEPM,804
80523,TWOPM,851
80523,THREEPM,1134
80523,FOURPM,1222
80523,FIVEPM,1380
80523,SIXPM,1037
80523,SEVENPM,668
80523,EIGHTPM,416
80523,NINEPM,274
80523,TENPM,199
80523,ELEVENPM,104
60136,MIDNIGHT,55
60136,ONEAM,22
60136,TWOAM,18
60136,THREEAM,18
60136,FOURAM,62
60136,FIVEAM,322
60136,SIXAM,874
60136,SEVENAM,2355
60136,EIGHTAM,3874
60136,NINEAM,2515
60136,TENAM,2174
60136,ELEVENAM,2181
60136,NOON,2111
60136,ONEPM,2033
60136,TWOPM,2152
60136,THREEPM,2867
60136,FOURPM,3089
60136,FIVEPM,3489
60136,SIXPM,2622
60136,SEVENPM,1689
60136,EIGHTPM,1052
60136,NINEPM,692
60136,TENPM,503
60136,ELEVENPM,263
48573,MIDNIGHT,47
48573,ONEAM,18
48573,TWOAM,15
48573,THREEAM,15
48573,FOURAM,53
48573,FIVEAM,273
48573,SIXAM,741
48573,SEVENAM,1999
48573,EIGHTAM,3287
48573,NINEAM,2134
48573,TENAM,1845
48573,ELEVENAM,1851
48573,NOON,1791
48573,ONEPM,1725
48573,TWOPM,1826
48573,THREEPM,2432
48573,FOURPM,2621
48573,FIVEPM,2960
48573,SIXPM,2225
48573,SEVENPM,1433
48573,EIGHTPM,892
48573,NINEPM,587
48573,TENPM,427
48573,ELEVENPM,223
52808,MIDNIGHT,27
52808,ONEAM,11
52808,TWOAM,9
52808,THREEAM,9
52808,FOURAM,31
52808,FIVEAM,160
52808,SIXAM,436
52808,SEVENAM,1175
52808,EIGHTAM,1932
52808,NINEAM,1254
52808,TENAM,1084
52808,ELEVENAM,1088
52808,NOON,1053
52808,ONEPM,1014
52808,TWOPM,1073
52808,THREEPM,1430
52808,FOURPM,1540
52808,FIVEPM,1740
52808,SIXPM,1308
52808,SEVENPM,842
52808,EIGHTPM,524
52808,NINEPM,345
52808,TENPM,251
52808,ELEVENPM,131
67417,MIDNIGHT,29
67417,ONEAM,11
67417,TWOAM,9
67417,THREEAM,9
67417,FOURAM,33
67417,FIVEAM,172
67417,SIXAM,466
67417,SEVENAM,1258
67417,EIGHTAM,2069
67417,NINEAM,1343
67417,TENAM,1161
67417,ELEVENAM,1165
67417,NOON,1127
67417,ONEPM,1086
67417,TWOPM,1149
67417,THREEPM,1531
67417,FOURPM,1650
67417,FIVEPM,1864
67417,SIXPM,1400
67417,SEVENPM,902
67417,EIGHTPM,561
67417,NINEPM,370
67417,TENPM,269
67417,ELEVENPM,140
52807,MIDNIGHT,21
52807,ONEAM,8
52807,TWOAM,7
52807,THREEAM,7
52807,FOURAM,24
52807,FIVEAM,127
52807,SIXAM,345
52807,SEVENAM,930
52807,EIGHTAM,1530
52807,NINEAM,993
52807,TENAM,859
52807,ELEVENAM,861
52807,NOON,834
52807,ONEPM,803
52807,TWOPM,850
52807,THREEPM,1132
52807,FOURPM,1220
52807,FIVEPM,1378
52807,SIXPM,1036
52807,SEVENPM,667
52807,EIGHTPM,415
52807,NINEPM,273
52807,TENPM,199
52807,ELEVENPM,103
59068,MIDNIGHT,16
59068,ONEAM,6
59068,TWOAM,5
59068,THREEAM,5
59068,FOURAM,18
